applicant_id,application_date,age,gender,education_level,employment_type,marital_status,family_size,number_of_dependents,location_type,monthly_income_inr,spouse_income_inr,monthly_expenses_inr,monthly_savings_inr,monthly_utility_bills_inr,property_value_inr,vehicle_value_inr,total_investments_inr,outstanding_loan_amount_inr,loan_amount_applied_inr,years_current_employment,banking_relationship_years,monthly_business_revenue_inr,daily_mobile_hours,monthly_digital_transactions,avg_transaction_amount_inr,social_media_accounts_count,mobile_app_usage_intensity_score,digital_payment_adoption_score,utility_payment_regularity_score,location_stability_score,mobile_banking_usage_score,payment_reliability_score,financial_health_score,stability_index,timeliness_score,repayment_ability_score,loan_type,interest_rate,probability_of_default,consent_status,city,risk_category
C6805,2025-06-04,28,Male,Graduate,Professional,Single,1,0,Tier2,151158,0,91925,57814,6703,0,312262,0,255577,1500000,21.3,10.0,0,9.2,61,7474,7,81,92,93,120,95,81,70,62,88,81,auto loan,11.22,0.046032820112380524,Full Consent,Palanpur,Low Risk
A9691,2025-04-07,46,Male,Post Graduate,Business Owner,Married,5,3,Tier2,60000,23552,25557,33124,22109,2223562,0,258498,167536,5760000,6.6,28.0,92084,3.0,43,2569,3,69,50,95,120,87,35,27,59,38,5,home loan,10.23,0.8157879599795875,Full Consent,Bharuch,Very High Risk
A5806,2025-05-18,54,Male,Graduate,Salaried,Single,1,0,Tier1,74581,0,34929,36798,2390,1913759,0,629283,155359,7159776,31.3,0.5,0,3.2,10,17049,3,30,47,92,120,79,31,10,44,9,5,home loan,9.78,0.8799434734283151,Full Consent,Bhavnagar,Very High Risk
F6902,2025-01-27,28,Female,Professional,Salaried,Single,1,0,Tier2,78172,0,29329,46088,2355,0,0,0,97177,547528,17.3,0.6,0,6.1,57,2687,6,77,73,95,120,95,77,52,34,58,77,personal loan,17.76,0.1709200055884147,Full Consent,Vapi,Low Risk
A1463,2025-05-12,61,Male,Professional,Business Owner,Single,1,0,Tier1,65437,0,22690,40608,4024,0,0,0,151058,1500000,27.6,36.9,106137,1.5,12,11625,1,35,54,95,120,80,91,70,78,95,77,auto loan,11.99,0.01,Full Consent,Bhavnagar,Low Risk
A4691,2025-05-23,49,Male,Post Graduate,Professional,Married,5,3,Tier2,69573,0,33715,35102,25775,0,0,763813,143273,6679008,26.3,23.5,0,5.2,34,4790,5,64,51,95,120,86,40,12,35,40,5,home loan,9.56,0.8804418769652318,Full Consent,Palanpur,Very High Risk
B7397,2025-01-11,38,Female,Professional,Business Owner,Married,5,3,Metro,105021,0,36348,65068,29140,2636175,829225,942423,259606,8000000,28.7,20.0,202068,7.0,16,9027,4,40,57,95,120,95,53,67,62,65,41,home loan,10.4,0.4523624479984413,Full Consent,Ahmedabad,High Risk
D4380,2025-03-17,28,Male,Post Graduate,Professional,Married,2,0,Tier1,60000,0,22929,33466,8151,1404040,233780,334344,125881,2000000,16.6,10.0,0,6.4,62,1234,7,88,80,95,120,95,75,85,90,83,65,personal loan,17.04,0.18882693429652975,Full Consent,Jamnagar,Medium Risk
E9075,2025-02-01,35,Female,Post Graduate,Professional,Married,3,1,Tier1,101497,76147,44142,54761,16060,3652951,417191,1256612,188533,8000000,21.2,17.0,0,7.5,20,7823,4,52,70,95,120,95,48,55,57,52,35,home loan,9.88,0.42940599734662066,Full Consent,Jamnagar,High Risk
F1659,2024-12-16,49,Male,Post Graduate,Salaried,Married,3,1,Tier2,60000,17239,26252,32964,10202,2119290,90168,366106,126101,597628,31.3,31.0,0,3.6,33,2745,2,49,71,95,120,94,89,95,90,95,89,gold loan,12.12,0.09662696051554656,Full Consent,Veraval,Low Risk
A7101,2024-10-17,50,Male,Post Graduate,Business Owner,Married,2,0,Tier1,112443,65897,26779,84386,4799,4484492,791869,1508351,291243,1476395,31.9,30.2,194652,2.6,10,11459,2,20,56,95,120,87,83,95,90,95,90,personal loan,17.54,0.12396521919910916,Full Consent,Bhavnagar,Low Risk
E2595,2025-04-18,62,Female,Graduate,Professional,Married,2,0,Tier2,166263,45969,84973,77800,9295,7386489,426614,6851512,270966,8000000,27.4,24.2,0,1.6,10,17170,2,22,59,95,120,81,79,87,90,94,70,home loan,9.48,0.25191495441092915,Full Consent,Vapi,Medium Risk
E2619,2024-12-09,58,Female,Graduate,Business Owner,Married,3,1,Metro,60000,13487,23180,35645,10917,0,221652,0,15009,4320000,21.1,15.1,142899,3.8,12,5309,1,28,26,95,120,91,58,10,51,53,15,business loan,13.93,0.609823529942507,Full Consent,Ahmedabad,High Risk
A3189,2025-04-05,36,Female,Post Graduate,Salaried,Married,3,1,Tier2,110277,72761,33851,73985,17944,3026676,237744,1041162,250728,5000000,17.4,18.0,0,7.5,27,8239,3,58,60,95,120,95,65,87,90,89,69,business loan,13.57,0.15095887221266252,Full Consent,Vapi,Low Risk
C8579,2025-05-16,51,Female,Post Graduate,Salaried,Single,1,0,Tier2,73365,0,24326,47401,3724,2398669,293538,0,308121,4653814,34.6,32.1,0,2.6,18,2966,1,52,41,95,120,82,64,59,77,69,46,home loan,9.86,0.3388226346651408,Full Consent,Nadiad,Medium Risk
C4237,2024-06-13,40,Male,Graduate,Salaried,Single,1,0,Tier2,138099,0,69482,65711,5051,7385695,538212,2283942,144025,8000000,10.0,20.9,0,7.2,13,21871,2,58,49,95,120,95,72,83,77,80,63,home loan,10.08,0.33689816569974784,Full Consent,Veraval,Medium Risk
B5820,2025-07-06,53,Female,Post Graduate,Salaried,Single,1,0,Tier2,60000,0,20140,37459,1949,0,87334,501110,72708,1000000,23.7,25.9,0,3.0,18,4345,2,51,31,95,120,91,90,95,90,95,90,gold loan,11.72,0.06131140076093522,Full Consent,Junagadh,Low Risk
E7471,2024-10-25,28,Female,Post Graduate,Professional,Married,2,0,Tier2,152397,59668,59039,92383,5403,3076395,663687,0,240874,1076983,32.3,10.0,0,8.5,50,6480,7,83,88,95,120,95,81,95,90,95,90,personal loan,18.28,0.01,Full Consent,Veraval,Low Risk
A9933,2025-01-30,49,Male,Professional,Professional,Married,4,2,Tier2,60000,32530,32970,23295,12651,0,0,0,195748,4320000,5.2,31.0,0,5.5,28,5984,4,44,66,95,120,92,26,10,28,44,5,business loan,13.15,0.798888377033005,Full Consent,Valsad,Very High Risk
A1933,2024-10-13,48,Male,Professional,Salaried,Married,4,2,Tier2,92551,32969,39261,52252,14664,4321036,337778,2059877,166392,1000000,7.9,30.0,0,4.1,23,3741,2,48,57,95,120,95,95,95,90,95,90,gold loan,12.94,0.025036269584834295,Full Consent,Valsad,Low Risk
C9534,2025-02-18,43,Female,Post Graduate,Salaried,Married,5,3,Metro,82734,60928,31357,50866,21125,3125990,490702,1642784,213588,7942464,31.4,25.0,0,5.3,14,9339,2,65,57,95,120,95,46,29,52,46,14,home loan,10.2,0.6555496145412731,Full Consent,Gandhinagar,High Risk
A8735,2025-02-09,37,Female,Post Graduate,Professional,Married,5,3,Tier1,71779,55569,18352,52622,25720,0,82603,497495,154715,1963761,25.4,19.0,0,3.4,34,5079,3,60,78,95,120,95,82,80,85,95,74,personal loan,16.57,0.20976398600760054,Full Consent,Surendranagar,Medium Risk
A1373,2024-12-29,33,Male,Post Graduate,Business Owner,Married,3,1,Tier2,64041,39881,24836,38757,6193,0,67091,0,19614,2000000,16.4,15.0,154456,10.8,55,2417,6,74,77,95,120,95,88,49,61,83,68,education loan,12.4,0.30049965898447667,Full Consent,Patan,Medium Risk
D8772,2025-01-23,36,Female,Post Graduate,Salaried,Married,4,2,Metro,60000,0,24636,32786,21267,0,157346,0,78375,5760000,34.5,18.0,0,7.4,9,8482,2,73,50,95,120,95,44,10,5,14,5,home loan,9.78,0.748638160960128,Full Consent,Ahmedabad,Very High Risk
A8834,2025-06-04,41,Female,Post Graduate,Salaried,Married,5,3,Metro,82947,62316,41822,39669,15409,3005498,348778,1303574,177469,7962912,28.7,13.9,0,4.8,35,5198,3,40,58,95,120,95,45,29,50,47,8,home loan,9.5,0.841130117969829,Full Consent,Gandhinagar,Very High Risk
E2497,2025-03-22,36,Male,Professional,Professional,Married,3,1,Tier2,80487,22830,40412,36201,16919,2162884,346780,431387,192071,2000000,26.7,18.0,0,4.6,26,2641,4,59,58,95,120,95,81,86,90,95,80,personal loan,18.05,0.12217776834732824,Full Consent,Godhra,Low Risk
C2156,2024-06-15,38,Female,Graduate,Salaried,Married,5,3,Tier2,104859,0,39522,62530,12954,4507986,209747,751656,334332,8000000,21.3,20.0,0,6.8,32,6345,5,64,77,95,120,95,61,57,67,64,33,home loan,9.9,0.5910860082193451,Full Consent,Anand,High Risk
B4200,2025-04-13,54,Male,Post Graduate,Business Owner,Married,4,2,Metro,116296,0,55424,60300,5681,8541417,573077,3056955,141769,3922907,24.2,35.9,285272,2.8,15,13849,3,41,57,95,120,81,81,93,90,95,84,business loan,13.85,0.07682990029023196,Full Consent,Vadodara,Low Risk
D8053,2025-02-06,38,Male,Professional,Salaried,Married,2,0,Tier2,60000,0,28940,29136,3407,0,0,0,70722,2000000,24.1,20.0,0,7.0,30,3005,4,47,57,95,120,95,75,40,69,79,54,personal loan,16.94,0.10902539840794565,Full Consent,Nadiad,Low Risk
F4349,2024-12-12,32,Male,Professional,Professional,Married,3,1,Tier1,161854,112575,80266,78323,9233,3743726,333415,800560,273570,8000000,21.9,0.7,0,9.2,48,7178,4,94,81,92,120,95,55,72,62,55,66,home loan,9.81,0.3529552409899932,Full Consent,Bhavnagar,Medium Risk
D9348,2024-11-17,34,Male,Post Graduate,Salaried,Married,4,2,Tier2,101572,77345,31649,68797,13997,2196608,436029,679022,38999,8000000,0.5,12.7,0,8.0,64,2942,7,91,77,95,120,95,27,64,37,18,20,home loan,9.4,0.7844529314562091,Full Consent,Bharuch,Very High Risk
C8919,2024-10-17,50,Female,Post Graduate,Salaried,Single,1,0,Tier2,95032,0,40946,53573,4325,3352314,682433,2144258,231006,1899682,34.1,30.3,0,2.3,14,18720,2,33,35,95,120,95,83,95,90,95,89,business loan,13.74,0.06562517743293396,Full Consent,Porbandar,Low Risk
F8252,2024-10-25,54,Male,Graduate,Business Owner,Single,1,0,Tier2,91276,0,39749,49996,4961,3188624,246858,1680323,187019,5000000,28.5,35.1,178661,4.7,12,8658,3,52,44,95,120,94,57,62,82,75,53,business loan,13.74,0.247415759279825,Full Consent,Bharuch,Medium Risk
E4687,2024-12-27,33,Male,Post Graduate,Salaried,Single,1,0,Tier2,84447,0,26213,57738,5923,1764604,305367,732508,202404,1500000,26.7,3.5,0,7.5,44,2368,5,93,71,95,120,95,79,95,88,95,90,auto loan,11.49,0.046943569123297814,Full Consent,Mehsana,Low Risk
E8615,2024-08-04,45,Female,Post Graduate,Professional,Single,1,0,Tier1,122941,0,65553,55250,2850,5758206,571183,3006409,200725,8000000,0.5,27.0,0,6.8,24,7961,2,64,60,95,120,78,28,73,39,37,24,home loan,9.73,0.579179456380943,Full Consent,Surendranagar,High Risk
B6489,2024-08-01,33,Male,Post Graduate,Salaried,Married,5,3,Tier1,76137,0,24619,50668,22247,1995435,120094,593378,123924,1500000,4.0,15.0,0,7.5,67,2463,5,71,86,95,120,95,71,95,84,95,90,auto loan,11.9,0.15689479423798425,Full Consent,Jamnagar,Low Risk
A1012,2024-09-26,55,Male,Graduate,Salaried,Married,5,3,Tier2,60000,25638,23431,35143,21516,0,236675,0,170193,2870264,29.3,34.4,0,2.1,12,8458,1,41,34,95,120,76,69,39,65,71,50,home loan,9.6,0.14365019037377263,Full Consent,Bharuch,Low Risk
E6058,2025-06-24,36,Female,Post Graduate,Salaried,Single,1,0,Metro,60000,0,21335,36302,922,1542055,0,0,128814,5760000,30.2,18.0,0,6.5,30,5156,3,54,54,95,120,95,39,38,53,37,5,home loan,9.94,0.7656410543873201,Full Consent,Surat,Very High Risk
F9724,2024-10-06,28,Female,Post Graduate,Professional,Married,3,1,Metro,60000,22526,22261,34113,3774,0,0,0,210964,2000000,31.9,7.7,0,9.9,60,1158,4,65,85,95,120,95,70,33,61,65,56,education loan,12.11,0.11828398720239464,Full Consent,Surat,Low Risk
F2433,2024-07-07,64,Male,Graduate,Salaried,Married,4,2,Tier2,113221,68613,46333,64355,20430,5115747,659690,2874176,173531,1689355,28.2,32.1,0,3.3,11,13563,3,30,58,95,120,87,90,95,90,95,90,personal loan,17.41,0.07424801509925447,Full Consent,Vapi,Low Risk
F2168,2025-03-28,45,Male,Post Graduate,Professional,Single,1,0,Tier2,124360,0,49999,70820,4796,5924264,726431,1968239,100457,5682169,26.9,9.9,0,6.3,19,6343,3,71,49,95,120,95,80,93,90,92,82,home loan,9.89,0.13435474121301091,Full Consent,Mehsana,Low Risk
D7860,2024-07-16,31,Female,Post Graduate,Business Owner,Married,2,0,Tier2,60000,0,22898,33936,3377,0,0,0,81140,2000000,21.0,7.4,158545,10.8,63,2567,7,79,85,95,120,95,76,39,65,77,56,personal loan,17.28,0.2297616896675389,Full Consent,Morbi,Medium Risk
F9579,2024-10-14,31,Male,Graduate,Salaried,Married,4,2,Tier2,67602,0,33328,30984,6682,0,0,0,150885,1208416,33.0,13.0,0,11.7,50,2605,7,86,81,95,120,95,84,51,51,85,67,personal loan,17.46,0.20097668011037317,Full Consent,Palanpur,Medium Risk
F9639,2024-06-12,41,Female,Graduate,Salaried,Married,5,3,Metro,79957,59461,21894,57279,10193,0,0,0,199894,2000000,11.3,23.0,0,6.5,28,2924,4,44,55,95,120,95,81,62,66,85,81,personal loan,17.85,0.08268721032868409,Full Consent,Vadodara,Low Risk
E3438,2025-04-25,42,Male,Professional,Business Owner,Married,5,3,Tier2,120181,50844,60381,57068,26786,6594410,593185,1194833,344138,8000000,20.2,24.0,261863,7.7,24,6738,3,70,76,95,120,95,52,68,81,69,42,home loan,9.21,0.41562622927739534,Full Consent,Patan,Medium Risk
D4866,2024-10-03,36,Female,Professional,Professional,Married,3,1,Tier2,60000,15849,29152,29175,17618,1219727,0,338116,62415,5760000,25.2,12.2,0,6.5,32,1907,4,67,73,95,120,95,41,24,49,42,5,home loan,10.46,0.7437589408495727,Full Consent,Nadiad,Very High Risk
E3807,2024-06-26,43,Male,Post Graduate,Professional,Single,1,0,Tier1,97437,0,36085,58047,3053,3354186,555027,1175002,270744,8000000,21.2,25.0,0,6.3,34,7175,3,57,51,95,120,95,52,43,56,59,27,home loan,10.38,0.6138096602035442,Full Consent,Jamnagar,High Risk
D3578,2025-05-31,43,Male,Graduate,Salaried,Single,1,0,Metro,75808,0,19642,54850,5121,2050160,0,0,63452,2611676,15.8,25.0,0,3.2,36,5029,2,58,54,95,120,95,95,95,90,95,90,home loan,10.11,0.01,Full Consent,Surat,Low Risk
D1686,2025-04-23,37,Male,Professional,Business Owner,Single,1,0,Tier1,79600,0,40426,37654,3662,0,203459,942256,95461,1500000,30.8,19.0,152944,5.3,32,6973,2,48,63,95,120,95,83,95,84,95,88,auto loan,10.86,0.0888625772991739,Full Consent,Surendranagar,Low Risk
A8214,2024-10-16,39,Male,Graduate,Salaried,Married,3,1,Tier2,151443,58848,54889,95257,10896,4587403,822418,1365303,405221,2000000,12.5,21.0,0,7.4,21,5667,2,70,75,95,120,95,81,95,90,95,90,personal loan,17.79,0.04657131254687024,Full Consent,Navsari,Low Risk
A8848,2025-07-02,32,Male,Post Graduate,Business Owner,Married,4,2,Tier2,60000,0,28129,31032,13893,0,0,428650,126168,1500000,22.9,14.0,119927,11.8,60,1386,7,72,91,95,120,95,87,70,90,95,74,auto loan,11.02,0.08596895464864292,Full Consent,Godhra,Low Risk
F1808,2024-09-20,56,Male,Post Graduate,Salaried,Married,4,2,Tier2,92797,0,45672,45104,6923,5907726,372017,2741771,77436,2000000,22.3,27.9,0,1.4,19,11124,2,36,28,95,120,82,83,95,90,95,90,personal loan,17.99,0.01,Full Consent,Palanpur,Low Risk
E7639,2025-03-11,33,Male,Graduate,Professional,Married,2,0,Tier1,94864,64633,43543,51123,6709,2783727,348097,346678,279393,5000000,0.5,15.0,0,7.8,66,2855,4,73,75,95,120,95,17,63,47,35,29,business loan,14.71,0.6082219508273433,Full Consent,Rajkot,High Risk
A2477,2025-03-09,28,Male,Post Graduate,Professional,Married,4,2,Tier2,60000,0,27664,28643,15283,1201606,159541,242450,136401,1500000,0.5,10.0,0,8.0,62,2698,6,83,88,95,120,95,54,92,58,52,60,auto loan,11.79,0.10903598490172399,Full Consent,Palanpur,Low Risk
B1868,2025-03-07,54,Female,Professional,Business Owner,Married,2,0,Tier2,79869,47726,32332,46462,5919,0,0,861378,187599,2768977,10.0,9.2,115621,4.0,10,12617,2,50,48,95,120,95,78,62,81,91,68,business loan,13.87,0.18920122394876532,Full Consent,Junagadh,Medium Risk
F8374,2025-04-07,42,Male,Professional,Salaried,Married,2,0,Tier2,60000,0,23228,33082,7649,0,0,0,132321,5760000,12.1,24.0,0,7.8,35,4497,4,64,57,95,120,95,47,10,12,27,5,home loan,9.95,0.736483622820573,Full Consent,Patan,Very High Risk
B5352,2025-03-05,62,Male,Graduate,Professional,Married,5,3,Tier2,70816,0,39308,30427,18186,0,100584,291835,81012,3581308,0.5,32.7,0,4.2,29,5614,2,53,48,95,120,54,34,49,42,35,18,home loan,10.5,0.4863976123866677,Full Consent,Veraval,High Risk
C1524,2025-05-26,44,Male,Graduate,Salaried,Married,2,0,Metro,125488,0,66897,54709,9393,4515038,255210,2873790,269869,5000000,33.4,10.2,0,4.6,22,7521,2,53,78,95,120,95,72,72,90,95,75,business loan,13.46,0.20669969275879027,Full Consent,Ahmedabad,Medium Risk
D8840,2024-07-24,39,Male,Graduate,Salaried,Single,1,0,Tier2,60000,0,31289,28367,4360,0,0,0,86164,2000000,4.6,21.0,0,4.6,29,2122,4,73,48,95,120,91,55,50,60,78,45,education loan,11.96,0.2552253619446843,Full Consent,Morbi,Medium Risk
D6142,2024-12-07,54,Male,Post Graduate,Professional,Married,4,2,Tier2,75801,28198,36805,36960,8799,1843491,343896,0,190391,2000000,23.6,32.1,0,4.2,18,6325,1,23,57,95,120,80,77,94,90,95,80,personal loan,17.81,0.04715487388834373,Full Consent,Nadiad,Low Risk
D9444,2024-07-16,59,Male,Professional,Professional,Married,5,3,Tier2,60000,23551,24677,33288,23256,0,130407,386067,188547,4320000,21.2,36.5,0,3.4,21,6983,2,42,56,92,120,81,48,10,54,49,12,business loan,13.74,0.6243166083787766,Full Consent,Valsad,High Risk
B8525,2025-07-03,28,Female,Graduate,Business Owner,Married,2,0,Tier1,112891,56473,60752,49201,9886,0,0,759626,333565,2000000,30.6,10.0,311265,8.7,60,3398,5,85,92,93,120,95,79,89,63,95,83,education loan,12.67,0.08288662077712529,Full Consent,Bhavnagar,Low Risk
F2951,2025-01-30,31,Male,Post Graduate,Professional,Married,3,1,Metro,130678,74827,53070,76607,11429,3936517,563465,895741,168428,8000000,23.5,13.0,0,8.9,47,4547,4,72,88,95,120,95,63,76,71,72,60,home loan,9.3,0.24579587644936152,Full Consent,Surat,Medium Risk
C3537,2025-02-08,48,Female,Post Graduate,Professional,Married,5,3,Tier2,120997,0,48320,72244,15737,5860834,702823,1235129,352759,8000000,6.1,20.7,0,5.7,27,11460,2,65,60,95,120,95,57,63,73,68,49,home loan,10.17,0.39881646579877006,Full Consent,Patan,Medium Risk
D6943,2024-11-12,51,Female,Post Graduate,Salaried,Single,1,0,Tier2,102634,0,53526,45559,5573,4945456,755297,2381517,191040,8000000,23.4,32.9,0,3.6,10,27196,1,25,39,95,120,92,57,50,84,63,34,home loan,10.05,0.5182656864903463,Full Consent,Palanpur,High Risk
E3857,2024-06-06,50,Female,Professional,Salaried,Married,4,2,Tier1,107937,0,50135,54020,17246,4099232,717129,1343663,151111,3874117,4.9,32.0,0,4.2,10,20022,3,32,59,95,120,92,73,95,90,95,79,home loan,10.34,0.01,Full Consent,Jamnagar,Low Risk
A7355,2025-07-15,36,Male,Post Graduate,Professional,Married,5,3,Tier1,60000,44553,22514,34370,23585,1678951,232789,543549,43124,4320000,18.8,0.5,0,6.3,25,3583,5,63,71,95,120,95,38,31,50,36,27,business loan,13.27,0.7962644586644301,Full Consent,Bhavnagar,Very High Risk
B5091,2024-12-16,42,Female,Post Graduate,Salaried,Married,2,0,Metro,60000,47318,30707,26455,9784,0,0,204229,110465,375860,34.1,0.5,0,7.2,35,1367,3,57,74,94,120,92,64,53,51,69,73,education loan,11.41,0.09767631495587069,Full Consent,Ahmedabad,Low Risk
A4745,2025-04-10,31,Male,Post Graduate,Salaried,Married,5,3,Tier2,60000,20330,27205,31055,32215,0,90456,0,157214,2000000,0.5,13.0,0,9.4,61,1976,5,72,74,95,120,95,38,49,17,33,32,education loan,12.29,0.43195498428095386,Full Consent,Godhra,High Risk
F6919,2024-07-06,28,Female,Graduate,Professional,Married,3,1,Metro,88341,54759,31695,54542,16713,1527299,222960,0,207175,2000000,3.2,10.0,0,8.5,47,3839,4,93,71,95,120,95,57,95,74,85,74,education loan,12.27,0.07659715627971342,Full Consent,Gandhinagar,Low Risk
D2225,2025-04-20,45,Male,Professional,Salaried,Married,2,0,Tier2,60000,0,21418,36685,8978,1606106,271663,506428,75937,1346671,0.5,4.5,0,7.2,35,4314,3,62,48,95,120,73,38,92,70,80,67,personal loan,17.79,0.2054276680563779,Full Consent,Vapi,Medium Risk
C9734,2024-08-20,32,Female,Post Graduate,Professional,Married,4,2,Tier2,95989,0,24231,70922,2013,3589973,323583,571552,182878,8000000,22.1,14.0,0,10.4,81,2007,4,73,75,95,120,95,61,56,57,52,38,home loan,9.72,0.5073625307783489,Full Consent,Bharuch,High Risk
A8626,2024-08-05,45,Male,Graduate,Professional,Married,5,3,Tier2,93517,0,48410,41645,2972,3567051,673187,2293540,363918,6384568,20.3,8.9,0,4.2,31,4399,4,42,45,95,120,95,55,63,79,71,38,home loan,9.63,0.42431302104651836,Full Consent,Godhra,High Risk
F8215,2024-12-30,64,Female,Post Graduate,Professional,Married,3,1,Tier2,60000,20592,27288,30955,12457,2105918,0,0,218515,4320000,21.5,1.2,0,1.5,16,8339,2,43,31,90,120,75,28,20,49,40,20,business loan,14.66,0.6831827722807269,Full Consent,Patan,Very High Risk
D7315,2024-06-29,59,Female,Post Graduate,Professional,Married,5,3,Tier2,60000,39768,13946,43885,6866,0,0,551509,103906,1808813,22.5,36.6,0,5.0,13,9285,2,45,27,95,120,81,87,66,82,95,78,personal loan,17.06,0.07294227921744029,Full Consent,Valsad,Low Risk
B9391,2025-05-15,34,Female,Graduate,Salaried,Married,4,2,Tier2,137815,0,60799,73791,14170,4203432,838297,928998,380226,2000000,31.6,0.5,0,8.7,68,4308,4,79,83,95,120,95,61,91,81,88,90,personal loan,17.78,0.08493105730673578,Full Consent,Anand,Low Risk
F2936,2024-10-24,31,Female,Graduate,Professional,Married,4,2,Tier2,60000,0,26929,31944,22941,0,86576,354773,75313,2000000,4.2,13.0,0,9.6,72,996,7,81,82,95,120,95,63,68,44,76,50,personal loan,17.67,0.19027393765472117,Full Consent,Navsari,Medium Risk
F8814,2024-09-29,56,Female,Professional,Professional,Married,4,2,Tier2,60000,22703,21799,35676,24145,2053066,0,0,136978,5760000,21.3,33.1,0,3.5,10,11071,1,21,44,95,120,83,38,22,66,46,5,home loan,10.37,0.7011289398071369,Full Consent,Bharuch,Very High Risk
F4182,2025-07-28,58,Female,Graduate,Salaried,Married,2,0,Tier2,77308,50780,40160,34852,2543,0,93793,724472,162966,1000000,20.4,22.5,0,1.9,16,11421,1,23,57,95,120,84,82,87,90,95,82,gold loan,11.81,0.09116782905343959,Full Consent,Porbandar,Low Risk
B2709,2024-06-04,38,Female,Professional,Salaried,Married,5,3,Metro,126483,0,44865,78035,18715,4276918,579330,1001553,30355,2000000,26.0,20.0,0,6.0,26,12358,5,48,50,95,120,95,91,95,90,95,90,personal loan,17.26,0.070301340855911,Full Consent,Gandhinagar,Low Risk
C7014,2025-06-09,28,Female,Professional,Salaried,Married,5,3,Tier2,65253,0,28530,34862,23818,0,257520,0,15660,293371,16.8,10.0,0,8.9,63,2722,6,65,77,95,120,95,89,71,69,95,77,personal loan,17.53,0.04869594429903843,Full Consent,Anand,Low Risk
B1414,2025-05-25,45,Female,Post Graduate,Professional,Married,3,1,Metro,78972,50944,37628,38084,21327,2433734,0,635807,196963,7581312,11.6,27.0,0,4.0,37,4097,5,52,73,95,120,91,38,26,46,37,5,home loan,9.11,0.8831873234220371,Full Consent,Vadodara,Very High Risk
E2312,2024-11-10,44,Male,Graduate,Professional,Married,3,1,Tier2,121492,36256,51177,66745,13951,3925090,341629,1870756,292241,8000000,6.4,26.0,0,3.7,34,3253,3,74,58,95,120,95,56,69,69,68,45,home loan,10.44,0.38171606221268256,Full Consent,Nadiad,Medium Risk
E1889,2024-12-15,36,Female,Professional,Professional,Married,4,2,Tier2,81969,0,24403,54622,15522,4001019,607886,954669,156508,1500000,27.3,18.0,0,6.7,29,2295,4,74,49,95,120,95,91,95,90,95,90,auto loan,11.22,0.06596201636848087,Full Consent,Mehsana,Low Risk
F1113,2025-05-22,28,Male,Graduate,Salaried,Single,1,0,Tier2,60000,0,21308,37453,4679,632077,134683,463092,84456,1500000,31.4,10.0,0,6.9,67,1617,5,80,88,95,120,95,95,95,90,95,89,auto loan,10.97,0.12043045907151748,Full Consent,Porbandar,Low Risk
A7237,2024-07-31,38,Male,Post Graduate,Professional,Married,5,3,Tier2,60000,20583,23965,35765,6818,0,227472,208278,75548,4320000,0.5,6.7,0,3.4,38,1390,2,41,47,95,120,90,17,10,5,13,5,business loan,13.89,0.8647646268419219,Full Consent,Mehsana,Very High Risk
D3880,2024-08-01,48,Male,Post Graduate,Professional,Single,1,0,Tier2,60000,0,23649,33036,6343,0,0,291658,231106,3241003,22.8,20.0,0,3.9,40,3594,3,50,72,95,120,85,54,24,46,71,30,business loan,14.64,0.4874520025463238,Full Consent,Godhra,High Risk
B6035,2024-06-24,43,Male,Post Graduate,Professional,Married,3,1,Tier1,83703,0,44373,36091,15257,2379209,474459,1299128,115423,8000000,25.0,0.5,0,7.1,33,3895,3,63,62,95,120,95,26,21,47,16,7,home loan,9.86,0.7556689147972424,Full Consent,Rajkot,Very High Risk
D3125,2025-01-09,62,Male,Post Graduate,Professional,Single,1,0,Tier2,60000,0,18033,41435,3670,2587102,291321,0,118118,5760000,0.5,34.5,0,1.5,10,12767,1,43,38,95,120,70,10,32,27,9,5,home loan,9.4,0.9117803555569978,Full Consent,Bharuch,Very High Risk
C5142,2025-06-17,56,Male,Post Graduate,Business Owner,Married,5,3,Metro,93303,0,39025,54036,5537,4897517,618773,1183498,250924,8000000,32.4,1.5,117095,3.1,11,21508,3,24,43,91,120,78,35,23,53,30,25,home loan,10.84,0.8278722347958136,Full Consent,Surat,Very High Risk
E2553,2024-09-29,28,Male,Graduate,Business Owner,Married,4,2,Tier2,86431,49705,42540,41810,9265,0,139623,0,225882,1026949,25.6,10.0,185077,10.6,68,2097,7,91,85,95,120,95,76,67,61,84,67,personal loan,17.83,0.12607534721809757,Full Consent,Nadiad,Low Risk
C6775,2024-09-28,43,Male,Post Graduate,Salaried,Married,5,3,Tier2,60000,0,26624,29455,2290,0,137696,426394,131468,5760000,20.0,14.2,0,5.7,16,5912,5,56,64,95,120,95,39,10,27,30,5,home loan,10.51,0.718998827632112,Full Consent,Veraval,Very High Risk
A4488,2024-09-27,59,Female,Post Graduate,Salaried,Married,3,1,Tier2,135933,0,45067,86876,9979,7194473,833891,5606524,175804,5000000,33.7,15.2,0,4.2,10,22004,2,32,30,95,120,87,86,94,90,95,88,business loan,13.99,0.014697598889269331,Full Consent,Palanpur,Low Risk
E1007,2024-06-11,53,Male,Graduate,Business Owner,Single,1,0,Tier2,142105,0,60168,81805,5016,10163750,989426,1604552,251915,4897375,0.5,32.7,391746,2.4,18,19260,1,20,28,95,120,85,43,95,72,70,65,home loan,9.8,0.20632802757518193,Full Consent,Patan,Medium Risk
